B                Sat      11:51 AM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B                Sat      01:37 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
"C                Thu      10:37 AM                                                                                                                     --Judges Break--
C                Thu      01:06 PM                                                                                                                     --Awards - High Point--     Awards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C                Thu      03:12 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
C                Thu      06:50 PM                                                                                                                     --Judges Break--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C                Thu      09:06 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
C,,,,Fri,,,,09:51 AM,,,,,,,,,,,,,,,,--Awards - High Point--,,,,,,,,,Awards,,,,,,
C                 Fri       02:08 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C                 Fri       06:11 PM                                                                                                                     --Awards - High Point--     Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C                Sat      12:00 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
"C                Sat      03:57 PM                                                                                                                     --Awards - High Point &
Improv--",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Awards,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
